Partner_Name,Model_Name,Model_ID,Tier,Frequency,Period,Year,KPI,Value,Threshold,Anomaly_Flag,Uploaded_On,Model_Info,Report_Summary
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q1,2021,Gini,0.615,0.6,False,2021-03-26,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services Gini of 0.615 vs threshold 0.6
FinCorp,Retention_C,106,Tier 3,Quarterly,Q4,2022,CSI,0.922,0.88,True,2022-11-11,estimates customer retention likelihood,Retention_C estimates customer retention likelihood CSI of 0.922 vs threshold 0.88
FinCorp,Retention_C,106,Tier 3,Quarterly,Q3,2022,KS,0.505,0.5,False,2022-08-07,estimates customer retention likelihood,Retention_C estimates customer retention likelihood KS of 0.505 vs threshold 0.5
BankA,Risk_Model_X,201,Tier 1,Quarterly,Q2,2023,AUC,0.689,0.7,True,2023-06-07,scores probability of default for credit cards,Risk_Model_X scores probability of default for credit cards AUC of 0.689 vs threshold 0.7
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q4,2023,AUC,0.696,0.7,True,2023-12-31,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring AUC of 0.696 vs threshold 0.7
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q1,2022,AUC,0.662,0.7,True,2022-01-27,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services AUC of 0.662 vs threshold 0.7
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q4,2021,CSI,0.905,0.88,True,2021-12-25,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services CSI of 0.905 vs threshold 0.88
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q1,2021,AUC,0.672,0.7,True,2021-01-30,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring AUC of 0.672 vs threshold 0.7
FinCorp,Retention_C,106,Tier 3,Quarterly,Q1,2022,PSI,0.248,0.25,False,2022-02-27,estimates customer retention likelihood,Retention_C estimates customer retention likelihood PSI of 0.248 vs threshold 0.25
BankA,Risk_Model_X,201,Tier 1,Quarterly,Q4,2021,PSI,0.231,0.25,False,2021-11-25,scores probability of default for credit cards,Risk_Model_X scores probability of default for credit cards PSI of 0.231 vs threshold 0.25
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q1,2023,KS,0.519,0.5,False,2023-01-21,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring KS of 0.519 vs threshold 0.5
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q2,2022,AUC,0.714,0.7,False,2022-05-17,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring AUC of 0.714 vs threshold 0.7
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q1,2021,CSI,0.858,0.88,False,2021-01-11,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time CSI of 0.858 vs threshold 0.88
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q3,2021,CSI,0.846,0.88,False,2021-08-24,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services CSI of 0.846 vs threshold 0.88
FinCorp,Retention_C,106,Tier 3,Quarterly,Q2,2022,PSI,0.257,0.25,True,2022-05-25,estimates customer retention likelihood,Retention_C estimates customer retention likelihood PSI of 0.257 vs threshold 0.25
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q4,2022,PDO,0.679,0.7,True,2022-10-03,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring PDO of 0.679 vs threshold 0.7
FinCorp,Retention_C,106,Tier 3,Quarterly,Q3,2022,AUC,0.73,0.7,False,2022-07-10,estimates customer retention likelihood,Retention_C estimates customer retention likelihood AUC of 0.730 vs threshold 0.7
FinCorp,Retention_C,106,Tier 3,Quarterly,Q3,2021,CSI,0.851,0.88,False,2021-08-16,estimates customer retention likelihood,Retention_C estimates customer retention likelihood CSI of 0.851 vs threshold 0.88
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q2,2022,AUC,0.655,0.7,True,2022-04-22,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time AUC of 0.655 vs threshold 0.7
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q3,2023,PSI,0.299,0.25,True,2023-08-22,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking PSI of 0.299 vs threshold 0.25
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q4,2022,PDO,0.658,0.7,True,2022-11-24,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring PDO of 0.658 vs threshold 0.7
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q4,2022,KS,0.543,0.5,False,2022-11-06,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services KS of 0.543 vs threshold 0.5
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q3,2023,Gini,0.624,0.6,False,2023-07-24,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking Gini of 0.624 vs threshold 0.6
FinCorp,Retention_C,106,Tier 3,Quarterly,Q1,2022,Gini,0.561,0.6,True,2022-03-28,estimates customer retention likelihood,Retention_C estimates customer retention likelihood Gini of 0.561 vs threshold 0.6
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q2,2021,PDO,0.743,0.7,False,2021-06-08,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services PDO of 0.743 vs threshold 0.7
FinCorp,Retention_C,106,Tier 3,Quarterly,Q4,2023,AUC,0.735,0.7,False,2023-12-13,estimates customer retention likelihood,Retention_C estimates customer retention likelihood AUC of 0.735 vs threshold 0.7
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q4,2022,KS,0.474,0.5,True,2022-11-09,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services KS of 0.474 vs threshold 0.5
BankA,Risk_Model_X,201,Tier 1,Quarterly,Q1,2022,PSI,0.299,0.25,True,2022-01-07,scores probability of default for credit cards,Risk_Model_X scores probability of default for credit cards PSI of 0.299 vs threshold 0.25
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q3,2021,AUC,0.677,0.7,True,2021-07-16,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services AUC of 0.677 vs threshold 0.7
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q3,2021,KS,0.537,0.5,False,2021-07-27,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring KS of 0.537 vs threshold 0.5
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q1,2021,CSI,0.894,0.88,True,2021-02-20,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services CSI of 0.894 vs threshold 0.88
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q3,2023,Gini,0.591,0.6,True,2023-07-04,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services Gini of 0.591 vs threshold 0.6
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q1,2023,Gini,0.584,0.6,True,2023-03-30,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time Gini of 0.584 vs threshold 0.6
BankA,Risk_Model_X,201,Tier 1,Quarterly,Q4,2022,AUC,0.65,0.7,True,2022-11-05,scores probability of default for credit cards,Risk_Model_X scores probability of default for credit cards AUC of 0.650 vs threshold 0.7
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q1,2022,CSI,0.909,0.88,True,2022-01-25,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring CSI of 0.909 vs threshold 0.88
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q3,2023,CSI,0.881,0.88,True,2023-07-19,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring CSI of 0.881 vs threshold 0.88
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q1,2022,CSI,0.871,0.88,False,2022-03-22,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring CSI of 0.871 vs threshold 0.88
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q3,2023,AUC,0.664,0.7,True,2023-07-01,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring AUC of 0.664 vs threshold 0.7
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q1,2023,PSI,0.268,0.25,True,2023-01-14,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking PSI of 0.268 vs threshold 0.25
BankA,Risk_Model_X,201,Tier 1,Quarterly,Q1,2023,Gini,0.579,0.6,True,2023-01-27,scores probability of default for credit cards,Risk_Model_X scores probability of default for credit cards Gini of 0.579 vs threshold 0.6
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q4,2023,PSI,0.27,0.25,True,2023-10-21,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking PSI of 0.270 vs threshold 0.25
BankA,Risk_Model_X,201,Tier 1,Quarterly,Q1,2022,PSI,0.287,0.25,True,2022-03-31,scores probability of default for credit cards,Risk_Model_X scores probability of default for credit cards PSI of 0.287 vs threshold 0.25
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q1,2023,PDO,0.72,0.7,False,2023-02-05,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time PDO of 0.720 vs threshold 0.7
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q3,2023,AUC,0.7,0.7,False,2023-08-01,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services AUC of 0.700 vs threshold 0.7
FinCorp,Retention_C,106,Tier 3,Quarterly,Q3,2023,PSI,0.208,0.25,False,2023-07-01,estimates customer retention likelihood,Retention_C estimates customer retention likelihood PSI of 0.208 vs threshold 0.25
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q4,2021,PSI,0.252,0.25,True,2021-12-06,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking PSI of 0.252 vs threshold 0.25
FinCorp,Retention_C,106,Tier 3,Quarterly,Q4,2021,AUC,0.655,0.7,True,2021-10-13,estimates customer retention likelihood,Retention_C estimates customer retention likelihood AUC of 0.655 vs threshold 0.7
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q2,2022,Gini,0.624,0.6,False,2022-05-19,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services Gini of 0.624 vs threshold 0.6
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q3,2021,PSI,0.206,0.25,False,2021-07-07,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring PSI of 0.206 vs threshold 0.25
FinCorp,Retention_C,106,Tier 3,Quarterly,Q3,2023,KS,0.522,0.5,False,2023-07-27,estimates customer retention likelihood,Retention_C estimates customer retention likelihood KS of 0.522 vs threshold 0.5
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q3,2021,PSI,0.258,0.25,True,2021-08-21,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time PSI of 0.258 vs threshold 0.25
FinCorp,Retention_C,106,Tier 3,Quarterly,Q1,2021,Gini,0.578,0.6,True,2021-01-05,estimates customer retention likelihood,Retention_C estimates customer retention likelihood Gini of 0.578 vs threshold 0.6
BankA,Risk_Model_X,201,Tier 1,Quarterly,Q3,2023,PDO,0.671,0.7,True,2023-07-10,scores probability of default for credit cards,Risk_Model_X scores probability of default for credit cards PDO of 0.671 vs threshold 0.7
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q2,2023,PDO,0.724,0.7,False,2023-04-03,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring PDO of 0.724 vs threshold 0.7
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q2,2021,Gini,0.566,0.6,True,2021-05-11,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services Gini of 0.566 vs threshold 0.6
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q3,2021,CSI,0.872,0.88,False,2021-09-09,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking CSI of 0.872 vs threshold 0.88
FinCorp,Retention_C,106,Tier 3,Quarterly,Q2,2023,KS,0.493,0.5,True,2023-04-09,estimates customer retention likelihood,Retention_C estimates customer retention likelihood KS of 0.493 vs threshold 0.5
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q1,2022,CSI,0.858,0.88,False,2022-03-16,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time CSI of 0.858 vs threshold 0.88
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q4,2021,Gini,0.57,0.6,True,2021-11-21,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time Gini of 0.570 vs threshold 0.6
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q1,2021,CSI,0.914,0.88,True,2021-02-01,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services CSI of 0.914 vs threshold 0.88
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q1,2022,PDO,0.725,0.7,False,2022-03-25,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time PDO of 0.725 vs threshold 0.7
BankA,Risk_Model_X,201,Tier 1,Quarterly,Q1,2021,Gini,0.629,0.6,False,2021-02-11,scores probability of default for credit cards,Risk_Model_X scores probability of default for credit cards Gini of 0.629 vs threshold 0.6
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q3,2021,CSI,0.912,0.88,True,2021-09-16,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services CSI of 0.912 vs threshold 0.88
BankA,Risk_Model_X,201,Tier 1,Quarterly,Q1,2023,PSI,0.265,0.25,True,2023-02-27,scores probability of default for credit cards,Risk_Model_X scores probability of default for credit cards PSI of 0.265 vs threshold 0.25
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q4,2022,PDO,0.732,0.7,False,2022-12-01,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking PDO of 0.732 vs threshold 0.7
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q3,2022,AUC,0.68,0.7,True,2022-07-29,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking AUC of 0.680 vs threshold 0.7
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q4,2021,CSI,0.913,0.88,True,2021-11-20,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring CSI of 0.913 vs threshold 0.88
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q2,2021,AUC,0.734,0.7,False,2021-05-20,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking AUC of 0.734 vs threshold 0.7
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q1,2022,PSI,0.261,0.25,True,2022-03-03,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time PSI of 0.261 vs threshold 0.25
FinCorp,Retention_C,106,Tier 3,Quarterly,Q1,2022,AUC,0.656,0.7,True,2022-02-26,estimates customer retention likelihood,Retention_C estimates customer retention likelihood AUC of 0.656 vs threshold 0.7
BankA,Risk_Model_X,201,Tier 1,Quarterly,Q2,2022,PSI,0.282,0.25,True,2022-06-21,scores probability of default for credit cards,Risk_Model_X scores probability of default for credit cards PSI of 0.282 vs threshold 0.25
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q4,2023,KS,0.473,0.5,True,2023-12-31,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time KS of 0.473 vs threshold 0.5
FinCorp,Retention_C,106,Tier 3,Quarterly,Q4,2021,PSI,0.235,0.25,False,2021-12-12,estimates customer retention likelihood,Retention_C estimates customer retention likelihood PSI of 0.235 vs threshold 0.25
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q2,2022,PSI,0.203,0.25,False,2022-05-01,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time PSI of 0.203 vs threshold 0.25
BankA,Risk_Model_X,201,Tier 1,Quarterly,Q2,2021,CSI,0.848,0.88,False,2021-06-27,scores probability of default for credit cards,Risk_Model_X scores probability of default for credit cards CSI of 0.848 vs threshold 0.88
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q1,2023,PSI,0.234,0.25,False,2023-02-20,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time PSI of 0.234 vs threshold 0.25
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q3,2021,PSI,0.22,0.25,False,2021-07-27,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services PSI of 0.220 vs threshold 0.25
FinCorp,Retention_C,106,Tier 3,Quarterly,Q1,2022,KS,0.514,0.5,False,2022-02-27,estimates customer retention likelihood,Retention_C estimates customer retention likelihood KS of 0.514 vs threshold 0.5
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q4,2023,PDO,0.737,0.7,False,2023-11-02,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time PDO of 0.737 vs threshold 0.7
FinCorp,Retention_C,106,Tier 3,Quarterly,Q3,2022,CSI,0.928,0.88,True,2022-09-11,estimates customer retention likelihood,Retention_C estimates customer retention likelihood CSI of 0.928 vs threshold 0.88
FinCorp,Retention_C,106,Tier 3,Quarterly,Q1,2023,CSI,0.888,0.88,True,2023-02-09,estimates customer retention likelihood,Retention_C estimates customer retention likelihood CSI of 0.888 vs threshold 0.88
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q2,2023,Gini,0.596,0.6,True,2023-04-07,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring Gini of 0.596 vs threshold 0.6
FinCorp,Retention_C,106,Tier 3,Quarterly,Q2,2021,PSI,0.299,0.25,True,2021-04-13,estimates customer retention likelihood,Retention_C estimates customer retention likelihood PSI of 0.299 vs threshold 0.25
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q3,2022,PSI,0.21,0.25,False,2022-08-31,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time PSI of 0.210 vs threshold 0.25
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q2,2022,CSI,0.89,0.88,True,2022-04-19,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring CSI of 0.890 vs threshold 0.88
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q2,2023,PDO,0.737,0.7,False,2023-04-13,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time PDO of 0.737 vs threshold 0.7
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q2,2021,Gini,0.595,0.6,True,2021-05-01,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services Gini of 0.595 vs threshold 0.6
FinCorp,Retention_C,106,Tier 3,Quarterly,Q2,2023,KS,0.451,0.5,True,2023-06-08,estimates customer retention likelihood,Retention_C estimates customer retention likelihood KS of 0.451 vs threshold 0.5
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q1,2023,PSI,0.211,0.25,False,2023-03-08,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking PSI of 0.211 vs threshold 0.25
BankA,Risk_Model_X,201,Tier 1,Quarterly,Q3,2021,PSI,0.271,0.25,True,2021-08-23,scores probability of default for credit cards,Risk_Model_X scores probability of default for credit cards PSI of 0.271 vs threshold 0.25
FinCorp,Retention_C,106,Tier 3,Quarterly,Q1,2022,PDO,0.69,0.7,True,2022-01-22,estimates customer retention likelihood,Retention_C estimates customer retention likelihood PDO of 0.690 vs threshold 0.7
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q1,2023,PDO,0.677,0.7,True,2023-01-06,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking PDO of 0.677 vs threshold 0.7
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q3,2022,PDO,0.651,0.7,True,2022-09-25,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring PDO of 0.651 vs threshold 0.7
FinCorp,Retention_C,106,Tier 3,Quarterly,Q2,2022,AUC,0.708,0.7,False,2022-04-26,estimates customer retention likelihood,Retention_C estimates customer retention likelihood AUC of 0.708 vs threshold 0.7
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q3,2023,AUC,0.723,0.7,False,2023-08-21,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time AUC of 0.723 vs threshold 0.7
FinCorp,Retention_C,106,Tier 3,Quarterly,Q1,2022,AUC,0.729,0.7,False,2022-03-30,estimates customer retention likelihood,Retention_C estimates customer retention likelihood AUC of 0.729 vs threshold 0.7
BankA,Risk_Model_X,201,Tier 1,Quarterly,Q1,2022,AUC,0.739,0.7,False,2022-01-05,scores probability of default for credit cards,Risk_Model_X scores probability of default for credit cards AUC of 0.739 vs threshold 0.7
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q3,2021,AUC,0.658,0.7,True,2021-07-15,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking AUC of 0.658 vs threshold 0.7
FinCorp,Retention_C,106,Tier 3,Quarterly,Q1,2021,CSI,0.921,0.88,True,2021-02-05,estimates customer retention likelihood,Retention_C estimates customer retention likelihood CSI of 0.921 vs threshold 0.88
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q3,2022,Gini,0.594,0.6,True,2022-09-03,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services Gini of 0.594 vs threshold 0.6
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q2,2022,Gini,0.592,0.6,True,2022-04-05,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time Gini of 0.592 vs threshold 0.6
FinCorp,Retention_C,106,Tier 3,Quarterly,Q2,2022,CSI,0.924,0.88,True,2022-04-02,estimates customer retention likelihood,Retention_C estimates customer retention likelihood CSI of 0.924 vs threshold 0.88
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q1,2022,PSI,0.253,0.25,True,2022-01-13,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking PSI of 0.253 vs threshold 0.25
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q2,2023,Gini,0.619,0.6,False,2023-04-11,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking Gini of 0.619 vs threshold 0.6
FinCorp,Retention_C,106,Tier 3,Quarterly,Q3,2023,PDO,0.748,0.7,False,2023-09-17,estimates customer retention likelihood,Retention_C estimates customer retention likelihood PDO of 0.748 vs threshold 0.7
BankA,Risk_Model_X,201,Tier 1,Quarterly,Q1,2023,KS,0.518,0.5,False,2023-03-22,scores probability of default for credit cards,Risk_Model_X scores probability of default for credit cards KS of 0.518 vs threshold 0.5
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q2,2022,PDO,0.728,0.7,False,2022-05-23,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking PDO of 0.728 vs threshold 0.7
BankA,Risk_Model_X,201,Tier 1,Quarterly,Q1,2021,PDO,0.743,0.7,False,2021-01-26,scores probability of default for credit cards,Risk_Model_X scores probability of default for credit cards PDO of 0.743 vs threshold 0.7
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q4,2023,CSI,0.847,0.88,False,2023-11-29,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking CSI of 0.847 vs threshold 0.88
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q2,2022,PSI,0.251,0.25,True,2022-05-05,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time PSI of 0.251 vs threshold 0.25
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q4,2022,AUC,0.705,0.7,False,2022-10-29,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services AUC of 0.705 vs threshold 0.7
